vendor_id,num_passengers,tip,price,dropoff_time,pickup_time,distance
1,1,0.0,10.8,2018-11-01 00:23:02,2018-11-01 00:11:40,1.7
4,1,6.46,38.76,2018-11-01 00:45:19,2018-11-01 00:11:40,8.85
1,1,1.7,14.0,2018-11-01 00:21:54,2018-11-01 00:11:42,3.1
2,1,0.0,8.3,2018-11-01 00:18:54,2018-11-01 00:11:43,1.38
1,2,1.0,14.8,2018-11-01 00:29:25,2018-11-01 00:11:52,2.4
1,1,0.0,8.8,2018-11-01 00:19:54,2018-11-01 00:11:56,1.1
2,1,2.16,12.96,2018-11-01 00:23:38,2018-11-01 00:11:59,1.78
2,3,0.0,8.3,2018-11-01 00:20:12,2018-11-01 00:12:02,0.96
2,1,0.0,15.8,2018-11-01 00:34:16,2018-11-01 00:12:06,1.72
4,1,2.66,15.96,2018-11-01 00:25:03,2018-11-01 00:12:20,2.88
1,2,5.05,30.35,2018-11-01 00:41:52,2018-11-01 00:12:21,5.9
2,5,0.0,6.8,2018-11-01 00:18:01,2018-11-01 00:12:22,0.73
2,1,0.0,19.3,2018-11-01 00:33:28,2018-11-01 00:12:24,4.74
1,2,0.0,19.8,2018-11-01 00:34:22,2018-11-01 00:12:25,5.0
1,1,0.0,6.3,2018-11-01 00:16:59,2018-11-01 00:12:26,0.7
1,1,3.35,20.15,2018-11-01 00:29:28,2018-11-01 00:12:30,4.1
1,1,1.85,11.15,2018-11-01 00:23:11,2018-11-01 00:12:30,0.7
1,1,0.0,8.8,2018-11-01 00:21:19,2018-11-01 00:12:31,0.9
1,1,3.05,13.35,2018-11-01 00:22:14,2018-11-01 00:12:31,2.1
2,1,0.0,8.3,2018-11-01 00:22:24,2018-11-01 00:12:38,0.3
1,2,3.15,18.95,2018-11-01 00:27:15,2018-11-01 00:12:39,3.7
2,1,0.0,14.3,2018-11-01 00:25:07,2018-11-01 00:12:39,3.59
1,1,0.0,6.8,2018-11-01 00:19:06,2018-11-01 00:12:56,0.6
2,1,3.36,20.16,2018-11-01 00:30:02,2018-11-01 00:12:58,4.13
1,1,0.0,7.8,2018-11-01 00:21:17,2018-11-01 00:12:59,0.1
2,2,0.46,9.76,2018-11-01 00:22:58,2018-11-01 00:13:04,1.08
2,1,2.0,19.3,2018-11-01 00:29:39,2018-11-01 00:13:05,4.33
2,4,1.76,10.56,2018-11-01 00:22:13,2018-11-01 00:13:07,1.12
2,1,2.16,12.96,2018-11-01 00:24:41,2018-11-01 00:13:13,1.85
2,6,3.0,35.3,2018-11-01 00:51:43,2018-11-01 00:13:14,9.31
2,1,0.0,12.3,2018-11-01 00:27:29,2018-11-01 00:13:15,2.21
2,1,3.06,18.36,2018-11-01 00:23:29,2018-11-01 00:13:16,4.48
2,1,6.86,41.16,2018-11-01 00:41:57,2018-11-01 00:13:24,10.13
1,1,3.2,14.0,2018-11-01 00:26:02,2018-11-01 00:13:27,1.6
2,1,0.0,9.8,2018-11-01 00:23:58,2018-11-01 00:13:27,1.4
